,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,11/08/2017,Arsenal,Leicester,"['4 ', ' 3']",Arsenal,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12/08/2017,Watford,Liverpool,"['3 ', ' 3']",Watford,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12/08/2017,Chelsea,Burnley,"['2 ', ' 3']",Chelsea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12/08/2017,Crystal Palace,Huddersfield,"['0 ', ' 3']",Crystal Palace,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Huddersfield,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12/08/2017,Everton,Stoke,"['1 ', ' 0']",Everton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stoke,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12/08/2017,Southampton,Swansea,"['0 ', ' 0']",Southampton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Swansea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12/08/2017,West Bromwich Albion,Bournemouth,"['1 ', ' 0']",West Bromwich Albion,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12/08/2017,Brighton,Manchester City,"['0 ', ' 2']",Brighton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13/08/2017,Newcastle United,Tottenham,"['0 ', ' 2']",Newcastle United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,13/08/2017,Manchester United,West Ham,"['4 ', ' 0']",Manchester United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,19/08/2017,Swansea,Manchester United,"['0 ', ' 4']",Swansea,1,0,0,1,0.41,2.22,12.88,8.52,1.0,16.0,1.0,Manchester United,1,4,0,3,2.64,0.63,9.36,13.35,10.0,9.0,3.0
11,19/08/2017,Bournemouth,Watford,"['0 ', ' 2']",Bournemouth,1,0,1,0,0.38,1.18,12.0,17.39,6.0,6.0,0.0,Watford,1,3,3,1,2.18,2.62,11.26,14.71,2.0,10.0,1.0
12,19/08/2017,Burnley,West Bromwich Albion,"['0 ', ' 1']",Burnley,1,3,2,3,0.56,1.36,23.75,9.94,3.0,4.0,3.0,West Bromwich Albion,1,1,0,3,1.18,0.38,17.39,12.0,6.0,6.0,3.0
13,19/08/2017,Leicester,Brighton,"['2 ', ' 0']",Leicester,1,3,4,0,1.46,2.54,13.55,5.44,2.0,13.0,0.0,Brighton,1,0,2,0,0.28,1.87,67.33,5.44,2.0,18.0,0.0
14,19/08/2017,Liverpool,Crystal Palace,"['1 ', ' 0']",Liverpool,1,3,3,1,2.62,2.18,14.71,11.26,10.0,2.0,1.0,Crystal Palace,1,0,3,0,0.99,1.74,6.5,6.91,3.0,5.0,0.0
15,19/08/2017,Southampton,West Ham,"['3 ', ' 2']",Southampton,1,0,0,1,2.22,0.41,8.52,12.88,16.0,1.0,1.0,West Ham,1,0,4,0,0.63,2.64,13.35,9.36,9.0,10.0,0.0
16,19/08/2017,Stoke,Arsenal,"['1 ', ' 0']",Stoke,1,0,1,0,0.28,0.72,14.45,6.19,9.0,3.0,0.0,Arsenal,1,4,3,3,2.54,1.46,5.44,13.55,13.0,2.0,3.0
17,20/08/2017,Huddersfield,Newcastle United,"['1 ', ' 0']",Huddersfield,1,3,0,3,1.74,0.99,6.91,6.5,5.0,3.0,3.0,Newcastle United,1,0,2,0,0.63,2.34,29.5,7.12,2.0,8.0,0.0
18,20/08/2017,Tottenham,Chelsea,"['1 ', ' 2']",Tottenham,1,2,0,3,2.34,0.63,7.12,29.5,8.0,2.0,3.0,Chelsea,1,2,3,0,1.36,0.56,9.94,23.75,4.0,3.0,0.0
19,21/08/2017,Manchester City,Everton,"['1 ', ' 1']",Manchester City,1,2,0,3,1.87,0.28,5.44,67.33,18.0,2.0,3.0,Everton,1,1,0,3,0.72,0.28,6.19,14.45,3.0,9.0,3.0
20,26/08/2017,Bournemouth,Manchester City,"['1 ', ' 2']",Bournemouth,2,0,3,0,1.15,3.36,10.88,12.63,6.5,6.5,0.0,Manchester City,2,3,1,4,3.01,0.88,7.97,35.95,16.0,1.5,2.0
21,26/08/2017,Crystal Palace,Swansea,"['0 ', ' 2']",Crystal Palace,2,0,4,0,1.72,4.59,14.0,5.52,3.5,8.0,0.0,Swansea,2,0,4,1,0.71,5.63,15.56,8.43,2.5,10.0,0.5
22,26/08/2017,Huddersfield,Southampton,"['0 ', ' 0']",Huddersfield,2,4,0,6,2.0,1.96,7.32,10.27,3.5,4.0,3.0,Southampton,2,3,2,4,4.36,1.94,6.62,17.47,15.0,1.0,2.0
23,26/08/2017,Newcastle United,West Ham,"['3 ', ' 0']",Newcastle United,2,0,3,0,1.61,2.61,20.48,7.55,3.5,5.0,0.0,West Ham,2,2,7,0,2.16,4.78,17.33,7.02,5.0,12.0,0.0
24,26/08/2017,Watford,Brighton,"['0 ', ' 0']",Watford,2,5,3,4,4.35,3.38,10.19,12.37,4.5,8.5,2.0,Brighton,2,0,4,0,0.4,3.75,33.65,12.91,2.0,11.0,0.0
