,Date,HomeTeam,AwayTeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,10/08/2018,Manchester United,Leicester,"['2 ', ' 1']",1.57,3.9,7.5,2.03,1.79,Manchester United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,11/08/2018,Bournemouth,Cardiff,"['2 ', ' 0']",1.9,3.6,4.5,1.98,1.83,Bournemouth,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cardiff,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,11/08/2018,Fulham,Crystal Palace,"['0 ', ' 2']",2.5,3.4,3.0,1.95,1.87,Fulham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,11/08/2018,Huddersfield,Chelsea,"['0 ', ' 3']",6.5,4.0,1.61,1.98,1.84,Huddersfield,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,11/08/2018,Newcastle United,Tottenham,"['1 ', ' 2']",3.9,3.5,2.04,2.01,1.81,Newcastle United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,11/08/2018,Watford,Brighton,"['2 ', ' 0']",2.37,3.2,3.4,2.35,1.59,Watford,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,11/08/2018,Wolverhampton Wanderers,Everton,"['2 ', ' 2']",2.37,3.3,3.3,2.09,1.75,Wolverhampton Wanderers,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12/08/2018,Arsenal,Manchester City,"['0 ', ' 2']",4.0,3.8,1.95,1.55,2.42,Arsenal,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12/08/2018,Liverpool,West Ham,"['4 ', ' 0']",1.25,6.5,14.0,1.44,2.72,Liverpool,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,12/08/2018,Southampton,Burnley,"['0 ', ' 0']",1.85,3.5,5.0,2.34,1.6,Southampton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
