,Match Number,Round Number,Date,Location,Home Team,Away Team,Result,1,x,2,Over,Under,Yes,No
0,,,16/09/2023,,Wolverhampton Wanderers,Liverpool,,6.7,4.85,1.44,2.18,1.7,1.65,2.15
1,44.0,5.0,16/09/2023,Craven Cottage,Fulham,Luton,,1.7,3.9,4.9,1.91,1.9,1.88,1.85
2,,,16/09/2023,,Tottenham,Sheffield United,,1.31,5.6,9.5,2.3,1.62,1.9,1.85
3,,,16/09/2023,,West Ham,Manchester City,,5.9,4.6,1.5,1.6,2.37,1.7,2.07
4,41.0,5.0,16/09/2023,Villa Park,Aston Villa,Crystal Palace,,1.91,3.65,3.9,1.91,1.9,1.78,1.98
5,,,16/09/2023,,Manchester United,Brighton,,2.15,3.95,3.0,2.32,1.62,1.5,2.5
6,,,16/09/2023,,Newcastle United,Brentford,,1.55,4.25,5.9,1.7,2.18,1.75,2.0
7,42.0,5.0,17/09/2023,Vitality Stadium,Bournemouth,Chelsea,,4.25,4.1,1.75,1.62,2.3,1.62,2.22
8,43.0,5.0,17/09/2023,Goodison Park,Everton,Arsenal,,5.6,4.5,1.55,1.65,2.25,1.75,2.0
9,47.0,5.0,18/09/2023,The City Ground,Nottingham Forest,Burnley,,2.1,3.55,3.45,1.93,1.88,1.75,2.02
10,,,23/09/2023,,Manchester City,Nottingham Forest,,1.18,7.1,16.5,2.05,1.78,2.07,1.7
11,,,23/09/2023,,Luton,Wolverhampton Wanderers,,3.3,3.5,2.18,1.95,1.87,1.75,2.02
12,56.0,6.0,23/09/2023,Selhurst Park,Crystal Palace,Fulham,,1.93,3.55,4.0,2.0,1.82,1.83,1.91
13,52.0,6.0,23/09/2023,Gtech Community Stadium,Brentford,Everton,,1.83,3.65,4.35,1.9,1.91,1.78,1.95
14,,,23/09/2023,,Burnley,Manchester United,,4.9,4.1,1.65,1.7,2.18,1.7,2.07
15,55.0,6.0,24/09/2023,Stamford Bridge,Chelsea,Aston Villa,,1.83,3.7,4.35,1.7,2.18,1.6,2.25
16,57.0,6.0,24/09/2023,Anfield,Liverpool,West Ham,,1.47,4.9,5.9,2.12,1.72,1.6,2.27
17,53.0,6.0,24/09/2023,Amex Stadium,Brighton,Bournemouth,,1.42,5.2,6.6,2.02,1.8,1.6,2.25
18,,,24/09/2023,,Arsenal,Tottenham,,1.72,4.15,4.4,2.27,1.65,1.53,2.4
19,,,24/09/2023,,Sheffield United,Newcastle United,,7.1,4.6,1.45,1.62,2.32,1.78,1.98
