,Date,Home Team,Away Team,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,11/08/2023,Burnley,Manchester City,,9.0,5.4,1.33,1.62,2.32,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12/08/2023,Arsenal,Nottingham Forest,,1.2,6.8,14.5,2.07,1.75,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12/08/2023,Brighton,Luton,,1.33,5.3,9.5,1.62,2.3,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12/08/2023,Everton,Fulham,,2.2,3.4,3.3,1.95,1.85,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12/08/2023,Sheffield United,Crystal Palace,,3.1,3.25,2.4,2.18,1.7,Newcastle United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12/08/2023,Bournemouth,West Ham,,2.72,3.4,2.6,1.88,1.93,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12/08/2023,Newcastle United,Aston Villa,,1.75,3.95,4.4,1.75,2.07,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13/08/2023,Brentford,Tottenham,,2.72,3.65,2.45,1.72,2.15,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13/08/2023,Chelsea,Liverpool,,2.85,3.6,2.37,1.7,2.18,Nottingham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,14/08/2023,Manchester United,Wolverhampton Wanderers,,1.35,5.2,8.5,1.62,2.3,Wolverhampton Wanderers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,18/08/2023,Nottingham Forest,Sheffield United,,2.25,3.4,3.25,2.18,1.7,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,19/08/2023,Wolverhampton Wanderers,Brighton,,4.1,3.85,1.83,1.85,1.98,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,19/08/2023,Liverpool,Bournemouth,,1.22,6.8,11.75,1.95,1.87,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,19/08/2023,Fulham,Brentford,,2.57,3.4,2.7,2.0,1.82,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19/08/2023,Tottenham,Manchester United,,2.8,3.4,2.5,1.8,2.02,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,19/08/2023,Manchester City,Newcastle United,,1.47,4.5,6.8,1.72,2.12,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,20/08/2023,Aston Villa,Everton,,1.7,3.95,4.9,1.95,1.87,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,20/08/2023,West Ham,Chelsea,,3.55,3.6,2.05,2.05,1.78,,,,,,,,,,,,,,,,,,,,,,,,
18,21/08/2023,Crystal Palace,Arsenal,,5.9,4.05,1.57,1.93,1.87,,,,,,,,,,,,,,,,,,,,,,,,
