Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
16/09/2019,Aston Villa,West Ham,"['0 ', ' 0']",2.62,3.5,2.6,1.61,2.3,-23.549195766131305,-11.774597883065653,Aston Villa-West Ham | 16/09/2019
22/09/2019,Chelsea,Liverpool,"['1 ', ' 2']",3.5,3.75,2.0,1.57,2.37,-17.245817574955026,-8.622908787477513,Chelsea-Liverpool | 22/09/2019
26/10/2019,Burnley,Chelsea,"['2 ', ' 4']",4.5,4.0,1.72,1.66,2.2,-14.644177868734644,-7.322088934367322,Burnley-Chelsea | 26/10/2019
08/12/2019,Aston Villa,Leicester,"['1 ', ' 4']",4.33,3.8,1.8,1.61,2.3,0.005485580943428658,0.002742790471714329,Aston Villa-Leicester | 08/12/2019
22/02/2020,Leicester,Manchester City,"['0 ', ' 1']",4.5,4.2,1.7,1.53,2.5,1.309891093476935,0.6549455467384675,Leicester-Manchester City | 22/02/2020
29/02/2020,Newcastle United,Burnley,"['0 ', ' 0']",2.62,3.1,2.9,2.3,1.61,-22.486256210955318,-11.243128105477659,Newcastle United-Burnley | 29/02/2020
08/03/2020,Manchester United,Manchester City,"['2 ', ' 0']",5.0,4.33,1.6,1.66,2.2,-29.83482984312151,-14.917414921560756,Manchester United-Manchester City | 08/03/2020
25/06/2020,Burnley,Watford,"['1 ', ' 0']",3.0,3.25,2.45,2.2,1.66,-58.88480664684405,-29.44240332342202,Burnley-Watford | 25/06/2020
28/06/2020,Watford,Southampton,"['1 ', ' 3']",2.5,3.3,2.87,2.0,1.8,3.0281456817438936,1.5140728408719468,Watford-Southampton | 28/06/2020
01/07/2020,Bournemouth,Newcastle United,"['1 ', ' 4']",2.4,3.1,3.2,2.37,1.57,88.7059657240254,44.35298286201271,Bournemouth-Newcastle United | 01/07/2020
02/07/2020,Sheffield United,Tottenham,"['3 ', ' 1']",4.2,3.4,1.95,2.2,1.66,75.58817185241477,37.79408592620739,Sheffield United-Tottenham | 02/07/2020
11/07/2020,Sheffield United,Chelsea,"['3 ', ' 0']",6.0,3.8,1.6,2.0,1.8,68.61108134654148,34.30554067327074,Sheffield United-Chelsea | 11/07/2020
15/07/2020,Arsenal,Liverpool,"['2 ', ' 1']",3.8,3.8,1.9,1.57,2.37,61.72692767553519,30.863463837767597,Arsenal-Liverpool | 15/07/2020
