Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
02/09/2023,Brentford,Bournemouth,"['2 ', ' 2']",1.73,3.8,4.75,1.73,2.1,25.080618527352087,12.540309263676043,Brentford-Bournemouth | 02/09/2023
03/09/2023,Crystal Palace,Wolverhampton Wanderers,"['3 ', ' 2']",1.91,3.3,4.33,2.2,1.67,60.315637025292546,30.157818512646273,Crystal Palace-Wolverhampton Wanderers | 03/09/2023
03/09/2023,Arsenal,Manchester United,"['3 ', ' 1']",1.75,3.8,4.5,1.57,2.38,76.218606744373,38.1093033721865,Arsenal-Manchester United | 03/09/2023
16/09/2023,Fulham,Luton,"['1 ', ' 0']",1.67,3.75,5.5,1.89,2.01,66.24399971770339,33.121999858851694,Fulham-Luton | 16/09/2023
16/09/2023,Manchester United,Brighton,"['1 ', ' 3']",2.15,4.0,2.88,1.44,2.75,73.57424519488868,36.78712259744434,Manchester United-Brighton | 16/09/2023
16/09/2023,Tottenham,Sheffield United,"['2 ', ' 1']",1.29,5.5,11.0,1.5,2.63,80.93870853585895,40.469354267929475,Tottenham-Sheffield United | 16/09/2023
17/09/2023,Bournemouth,Chelsea,"['0 ', ' 0']",4.33,3.75,1.8,1.67,2.2,56.554591406949896,28.277295703474948,Bournemouth-Chelsea | 17/09/2023
18/09/2023,Nottingham Forest,Burnley,"['1 ', ' 1']",2.2,3.5,3.25,1.92,1.98,48.65595650152915,24.327978250764573,Nottingham Forest-Burnley | 18/09/2023
23/09/2023,Crystal Palace,Fulham,"['0 ', ' 0']",1.91,3.4,4.2,2.0,1.8,28.38480291684766,14.19240145842383,Crystal Palace-Fulham | 23/09/2023
23/09/2023,Luton,Wolverhampton Wanderers,"['1 ', ' 1']",3.25,3.4,2.2,2.02,1.88,-5.717217298978653,-2.8586086494893266,Luton-Wolverhampton Wanderers | 23/09/2023
23/09/2023,Brentford,Everton,"['1 ', ' 3']",1.8,3.8,4.2,1.95,1.95,18.346162747102312,9.173081373551156,Brentford-Everton | 23/09/2023
24/09/2023,Arsenal,Tottenham,"['2 ', ' 2']",1.67,4.33,4.33,1.5,2.63,21.821451794529523,10.910725897264761,Arsenal-Tottenham | 24/09/2023
24/09/2023,Chelsea,Aston Villa,"['0 ', ' 1']",1.91,3.75,3.8,1.73,2.1,-11.996811492842241,-5.9984057464211205,Chelsea-Aston Villa | 24/09/2023
30/09/2023,Everton,Luton,"['1 ', ' 2']",1.57,3.8,6.5,2.05,1.85,2.9076274860359206,1.4538137430179603,Everton-Luton | 30/09/2023
30/09/2023,Manchester United,Crystal Palace,"['0 ', ' 1']",1.55,4.2,5.75,1.8,2.0,-15.114957106523704,-7.557478553261852,Manchester United-Crystal Palace | 30/09/2023
01/10/2023,Nottingham Forest,Brentford,"['1 ', ' 1']",2.75,3.1,2.7,2.1,1.73,-24.723194355315513,-12.361597177657757,Nottingham Forest-Brentford | 01/10/2023
02/10/2023,Fulham,Chelsea,"['0 ', ' 2']",3.6,3.5,2.05,1.98,1.92,-49.812154137734844,-24.906077068867422,Fulham-Chelsea | 02/10/2023
03/10/2023,Luton,Burnley,"['1 ', ' 2']",2.9,3.0,2.63,2.2,1.65,-9.927865932011613,-4.963932966005807,Luton-Burnley | 03/10/2023
07/10/2023,Burnley,Chelsea,"['1 ', ' 4']",4.5,3.8,1.73,1.85,2.05,1.5087772326356088,0.7543886163178044,Burnley-Chelsea | 07/10/2023
07/10/2023,Everton,Bournemouth,"['3 ', ' 0']",1.91,3.6,3.8,1.85,2.05,28.169985853625576,14.084992926812788,Everton-Bournemouth | 07/10/2023
07/10/2023,Fulham,Sheffield United,"['3 ', ' 1']",1.62,3.8,6.0,1.96,1.94,45.88445474997647,22.942227374988235,Fulham-Sheffield United | 07/10/2023
07/10/2023,Manchester United,Brentford,"['2 ', ' 1']",1.67,4.2,4.75,1.65,2.2,58.12136793377414,29.06068396688707,Manchester United-Brentford | 07/10/2023
08/10/2023,Wolverhampton Wanderers,Aston Villa,"['1 ', ' 1']",3.5,3.4,2.1,1.75,2.05,56.010493628365026,28.005246814182513,Wolverhampton Wanderers-Aston Villa | 08/10/2023
08/10/2023,Arsenal,Manchester City,"['1 ', ' 0']",2.9,3.3,2.4,1.75,2.05,37.481758167551675,18.740879083775837,Arsenal-Manchester City | 08/10/2023
21/10/2023,Bournemouth,Wolverhampton Wanderers,"['1 ', ' 2']",2.38,3.4,3.0,1.85,2.05,68.85098874390405,34.42549437195203,Bournemouth-Wolverhampton Wanderers | 21/10/2023
21/10/2023,Brentford,Burnley,"['3 ', ' 0']",1.83,3.75,4.2,1.95,1.95,92.50520024085705,46.252600120428525,Brentford-Burnley | 21/10/2023
21/10/2023,Newcastle United,Crystal Palace,"['4 ', ' 0']",1.45,4.5,7.0,1.85,2.05,101.7269176775348,50.8634588387674,Newcastle United-Crystal Palace | 21/10/2023
21/10/2023,Nottingham Forest,Luton,"['2 ', ' 2']",1.67,3.75,5.5,2.08,1.82,111.87321010719998,55.93660505359999,Nottingham Forest-Luton | 21/10/2023
21/10/2023,Chelsea,Arsenal,"['2 ', ' 2']",3.2,3.4,2.25,1.98,1.92,152.194240610229,76.0971203051145,Chelsea-Arsenal | 21/10/2023
23/10/2023,Tottenham,Fulham,"['2 ', ' 0']",1.5,4.5,6.0,1.5,2.5,130.05429621469804,65.02714810734902,Tottenham-Fulham | 23/10/2023
27/10/2023,Crystal Palace,Tottenham,"['1 ', ' 2']",4.5,3.75,1.75,1.94,1.96,137.67481041999423,68.83740520999712,Crystal Palace-Tottenham | 27/10/2023
28/10/2023,Chelsea,Brentford,"['0 ', ' 2']",1.65,4.0,5.25,1.8,2.0,105.1663792946902,52.583189647345094,Chelsea-Brentford | 28/10/2023
28/10/2023,Bournemouth,Burnley,"['2 ', ' 1']",2.15,3.5,3.3,1.75,2.05,127.34849779086801,63.674248895434005,Bournemouth-Burnley | 28/10/2023
