Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
31/08/2019,Southampton,Manchester United,"['1 ', ' 1']",3.8,3.3,2.05,1.9,1.9,10.704517842116074,5.352258921058038,Southampton-Manchester United | 31/08/2019
31/08/2019,Chelsea,Sheffield United,"['2 ', ' 2']",1.36,4.75,9.0,1.72,2.1,-1.5858062798597388,-0.7929031399298694,Chelsea-Sheffield United | 31/08/2019
31/08/2019,Crystal Palace,Aston Villa,"['1 ', ' 0']",2.15,3.3,3.5,1.9,1.9,5.782399526079928,2.891199763039964,Crystal Palace-Aston Villa | 31/08/2019
31/08/2019,Leicester,Bournemouth,"['3 ', ' 1']",1.7,4.0,4.75,1.66,2.2,-10.315441545933,-5.157720772966499,Leicester-Bournemouth | 31/08/2019
31/08/2019,Burnley,Liverpool,"['0 ', ' 3']",9.5,5.5,1.3,1.61,2.3,-51.64111905178815,-25.820559525894076,Burnley-Liverpool | 31/08/2019
01/09/2019,Everton,Wolverhampton Wanderers,"['3 ', ' 2']",2.2,3.25,3.5,2.2,1.66,-53.91844587364947,-26.959222936824734,Everton-Wolverhampton Wanderers | 01/09/2019
01/09/2019,Arsenal,Tottenham,"['2 ', ' 2']",2.37,3.6,2.8,1.57,2.37,-69.70491590902093,-34.85245795451046,Arsenal-Tottenham | 01/09/2019
14/09/2019,Liverpool,Newcastle United,"['3 ', ' 1']",1.14,8.5,17.0,1.4,3.0,-95.44947062288372,-47.72473531144186,Liverpool-Newcastle United | 14/09/2019
14/09/2019,Tottenham,Crystal Palace,"['4 ', ' 0']",1.36,5.25,8.0,1.61,2.3,-110.02357969452767,-55.011789847263834,Tottenham-Crystal Palace | 14/09/2019
14/09/2019,Wolverhampton Wanderers,Chelsea,"['2 ', ' 5']",2.9,3.3,2.5,1.9,1.9,-123.97780344277784,-61.98890172138892,Wolverhampton Wanderers-Chelsea | 14/09/2019
21/09/2019,Leicester,Tottenham,"['2 ', ' 1']",2.87,3.5,2.37,1.8,2.0,-125.86771764264162,-62.93385882132081,Leicester-Tottenham | 21/09/2019
21/09/2019,Burnley,Norwich,"['2 ', ' 0']",2.0,3.8,3.5,1.66,2.2,-104.23772213159369,-52.11886106579685,Burnley-Norwich | 21/09/2019
28/09/2019,Sheffield United,Liverpool,"['0 ', ' 1']",9.0,5.25,1.33,1.61,2.3,-77.3924216230293,-38.69621081151465,Sheffield United-Liverpool | 28/09/2019
29/09/2019,Leicester,Newcastle United,"['5 ', ' 0']",1.5,4.0,7.5,2.0,1.8,-82.30972740197471,-41.15486370098735,Leicester-Newcastle United | 29/09/2019
19/10/2019,Chelsea,Newcastle United,"['1 ', ' 0']",1.3,5.5,10.0,1.57,2.37,-37.72705855962996,-18.86352927981498,Chelsea-Newcastle United | 19/10/2019
20/10/2019,Manchester United,Liverpool,"['1 ', ' 1']",5.25,3.8,1.65,1.72,2.1,-31.92498336297612,-15.96249168148806,Manchester United-Liverpool | 20/10/2019
21/10/2019,Sheffield United,Arsenal,"['1 ', ' 0']",3.9,3.75,1.9,1.66,2.2,-18.23517576373655,-9.117587881868275,Sheffield United-Arsenal | 21/10/2019
26/10/2019,Burnley,Chelsea,"['2 ', ' 4']",4.5,4.0,1.72,1.66,2.2,-43.348953941261186,-21.674476970630593,Burnley-Chelsea | 26/10/2019
02/11/2019,Bournemouth,Manchester United,"['1 ', ' 0']",3.25,3.6,2.15,1.9,1.9,-36.564726110882916,-18.282363055441458,Bournemouth-Manchester United | 02/11/2019
02/11/2019,West Ham,Newcastle United,"['2 ', ' 3']",1.75,3.8,4.5,1.8,2.0,-53.58262604609447,-26.79131302304723,West Ham-Newcastle United | 02/11/2019
02/11/2019,Watford,Chelsea,"['1 ', ' 2']",5.0,4.33,1.61,1.61,2.3,-68.46835983268838,-34.23417991634419,Watford-Chelsea | 02/11/2019
09/11/2019,Burnley,West Ham,"['3 ', ' 0']",2.25,3.5,3.1,1.66,2.2,-78.91556261786542,-39.45778130893271,Burnley-West Ham | 09/11/2019
09/11/2019,Newcastle United,Bournemouth,"['2 ', ' 1']",2.55,3.25,2.8,2.0,1.8,-83.60478646922093,-41.80239323461046,Newcastle United-Bournemouth | 09/11/2019
09/11/2019,Tottenham,Sheffield United,"['1 ', ' 1']",1.57,4.0,6.0,1.8,2.0,-77.29791310449562,-38.64895655224781,Tottenham-Sheffield United | 09/11/2019
23/11/2019,Watford,Burnley,"['0 ', ' 3']",2.3,3.4,3.1,2.0,1.8,-85.4856090417559,-42.74280452087794,Watford-Burnley | 23/11/2019
25/11/2019,Aston Villa,Newcastle United,"['2 ', ' 0']",2.05,3.4,3.7,1.9,1.9,-74.29887131941501,-37.14943565970751,Aston Villa-Newcastle United | 25/11/2019
30/11/2019,Newcastle United,Manchester City,"['2 ', ' 2']",13.0,8.0,1.16,1.44,2.75,-99.3000529093661,-49.650026454683044,Newcastle United-Manchester City | 30/11/2019
30/11/2019,Tottenham,Bournemouth,"['3 ', ' 2']",1.36,5.5,7.5,1.53,2.5,-123.19889729171979,-61.599448645859894,Tottenham-Bournemouth | 30/11/2019
30/11/2019,Southampton,Watford,"['2 ', ' 1']",2.1,3.4,3.5,1.9,1.9,-128.54247101007235,-64.27123550503617,Southampton-Watford | 30/11/2019
07/12/2019,Tottenham,Burnley,"['5 ', ' 0']",1.4,4.75,8.0,1.57,2.37,-149.51575743045794,-74.75787871522897,Tottenham-Burnley | 07/12/2019
08/12/2019,Norwich,Sheffield United,"['1 ', ' 2']",2.9,3.5,2.37,1.8,2.0,-153.5170295005558,-76.7585147502779,Norwich-Sheffield United | 08/12/2019
14/12/2019,Burnley,Newcastle United,"['1 ', ' 0']",1.95,3.4,4.0,2.1,1.72,-149.34841191457943,-74.67420595728971,Burnley-Newcastle United | 14/12/2019
22/12/2019,Tottenham,Chelsea,"['0 ', ' 2']",2.37,3.75,2.75,1.57,2.37,-128.8894708183387,-64.44473540916935,Tottenham-Chelsea | 22/12/2019
26/12/2019,Bournemouth,Arsenal,"['1 ', ' 1']",3.5,3.9,1.95,1.57,2.37,-104.36914275320916,-52.18457137660458,Bournemouth-Arsenal | 26/12/2019
26/12/2019,Manchester United,Newcastle United,"['4 ', ' 1']",1.33,5.25,9.0,1.72,2.1,-111.7528047236455,-55.87640236182275,Manchester United-Newcastle United | 26/12/2019
28/12/2019,Norwich,Tottenham,"['2 ', ' 2']",5.0,4.0,1.66,1.57,2.37,-129.50671024618984,-64.75335512309492,Norwich-Tottenham | 28/12/2019
28/12/2019,Burnley,Manchester United,"['0 ', ' 2']",4.33,3.75,1.8,1.9,1.9,-120.75383607802283,-60.376918039011414,Burnley-Manchester United | 28/12/2019
01/01/2020,Burnley,Aston Villa,"['1 ', ' 2']",1.75,3.8,4.33,1.9,1.9,-124.13217150359638,-62.06608575179819,Burnley-Aston Villa | 01/01/2020
01/01/2020,Southampton,Tottenham,"['1 ', ' 0']",3.3,3.5,2.1,1.66,2.2,-110.46841461463333,-55.234207307316666,Southampton-Tottenham | 01/01/2020
01/01/2020,Norwich,Crystal Palace,"['1 ', ' 1']",2.5,3.4,2.75,1.9,1.9,-107.32125105581045,-53.660625527905225,Norwich-Crystal Palace | 01/01/2020
11/01/2020,Wolverhampton Wanderers,Newcastle United,"['1 ', ' 1']",1.44,4.5,7.5,2.0,1.8,-102.16445439218944,-51.08222719609472,Wolverhampton Wanderers-Newcastle United | 11/01/2020
18/01/2020,Norwich,Bournemouth,"['1 ', ' 0']",2.2,3.5,3.25,1.8,2.0,-96.22982957135464,-48.11491478567732,Norwich-Bournemouth | 18/01/2020
18/01/2020,Newcastle United,Chelsea,"['1 ', ' 0']",6.0,4.5,1.5,1.72,2.1,-87.16355722191405,-43.58177861095703,Newcastle United-Chelsea | 18/01/2020
19/01/2020,Burnley,Leicester,"['2 ', ' 1']",4.33,3.75,1.83,1.9,1.9,-88.94812290527787,-44.474061452638935,Burnley-Leicester | 19/01/2020
21/01/2020,Everton,Newcastle United,"['2 ', ' 2']",1.55,4.1,6.0,1.9,1.9,-100.2226587203935,-50.11132936019675,Everton-Newcastle United | 21/01/2020
01/02/2020,Newcastle United,Norwich,"['0 ', ' 0']",2.2,3.4,3.3,2.0,1.8,-96.47735410539441,-48.238677052697206,Newcastle United-Norwich | 01/02/2020
02/02/2020,Burnley,Arsenal,"['0 ', ' 0']",3.6,3.6,2.0,1.9,1.9,-87.53298729856797,-43.76649364928398,Burnley-Arsenal | 02/02/2020
15/02/2020,Southampton,Burnley,"['1 ', ' 2']",1.75,3.8,4.75,1.9,1.9,-94.03531648933635,-47.017658244668176,Southampton-Burnley | 15/02/2020
16/02/2020,Arsenal,Newcastle United,"['4 ', ' 0']",1.4,4.75,8.0,1.72,2.1,-112.11303980955117,-56.05651990477559,Arsenal-Newcastle United | 16/02/2020
22/02/2020,Southampton,Aston Villa,"['2 ', ' 0']",1.61,4.33,5.0,1.57,2.37,-80.38659494726747,-40.193297473633734,Southampton-Aston Villa | 22/02/2020
29/02/2020,West Ham,Southampton,"['3 ', ' 1']",2.65,3.6,2.5,1.72,2.1,-89.83394433084902,-44.91697216542451,West Ham-Southampton | 29/02/2020
07/03/2020,Southampton,Newcastle United,"['0 ', ' 1']",1.61,4.1,5.25,1.8,2.0,-80.01766867447685,-40.008834337238426,Southampton-Newcastle United | 07/03/2020
24/06/2020,Wolverhampton Wanderers,Bournemouth,"['1 ', ' 0']",1.55,4.0,6.0,2.1,1.72,-72.10046025104201,-36.050230125521004,Wolverhampton Wanderers-Bournemouth | 24/06/2020
24/06/2020,Liverpool,Crystal Palace,"['4 ', ' 0']",1.22,6.5,13.0,1.66,2.2,-106.68950080119487,-53.344750400597434,Liverpool-Crystal Palace | 24/06/2020
